replicate,rate_per_day,rate_per_30_days
679,15.017297,450.518898
680,14.526586,435.797566
681,15.453555,463.606662
682,14.926329,447.789878
683,15.107623,453.2287
684,14.290199,428.705958
685,14.581038,437.431134
686,13.504805,405.144138
687,13.230621,396.918642
688,14.136451,424.09353
689,14.474055,434.221653
690,14.484305,434.529148
691,13.960282,418.808456
692,13.483024,404.490711
693,15.026265,450.787956
694,14.163997,424.919923
695,14.848174,445.445227
696,15.875721,476.271621
697,14.963485,448.904548
698,13.181294,395.438821
699,14.423447,432.703395
700,14.473414,434.202434
701,15.497117,464.913517
702,14.481742,434.452274
703,15.188981,455.669443
704,14.108905,423.267136
705,14.519539,435.586163
706,14.641896,439.256887
707,14.931454,447.943626
708,14.577194,437.315823
709,15.891095,476.732864
710,14.082639,422.47918
711,15.132607,453.978219
712,15.059577,451.787316
713,15.297245,458.917361
714,13.901345,417.040359
715,13.503523,405.105701
716,14.704036,441.121076
717,14.561819,436.85458
718,14.814222,444.42665
719,14.691864,440.755926
720,14.016656,420.49968
721,14.606662,438.199872
722,15.12492,453.747598
723,15.273543,458.206278
724,14.625881,438.776425
725,13.998078,419.942345
726,15.334401,460.032031
727,15.038437,451.153107
728,16.345291,490.358744
729,15.637412,469.122357
730,13.971813,419.154388
731,14.032671,420.980141
732,13.530429,405.912876
733,13.694427,410.832799
734,14.787316,443.619475
735,15.520179,465.605381
736,14.222293,426.668802
737,14.170404,425.112108
738,15.363869,460.916079
739,14.63549,439.064702
740,14.548366,436.450993
741,15.130045,453.901345
742,14.493274,434.798206
743,14.564382,436.931454
744,14.557976,436.73927
745,13.98911,419.673286
746,14.424728,432.741832
747,13.925048,417.751441
748,13.211403,396.342088
749,15.6041,468.122998
750,14.508648,435.259449
751,14.713645,441.409353
752,13.722614,411.678411
753,14.83344,445.003203
754,15.336323,460.089686
755,13.688661,410.659833
756,16.733504,502.005125
757,14.316464,429.493914
758,14.540038,436.201153
759,15.783472,473.504164
760,14.194747,425.842409
761,14.877643,446.329276
762,14.706598,441.19795
763,13.83344,415.003203
764,13.713645,411.409353
765,14.342088,430.262652
766,13.869955,416.098655
767,14.356823,430.704676
768,13.607944,408.238309
769,14.590647,437.719411
770,13.474696,404.240871
771,14.178091,425.342729
772,15.029468,450.884049
773,14.186419,425.592569
774,13.930173,417.905189
775,12.736707,382.101217
776,14.849455,445.483664
777,15.140295,454.20884
778,14.586803,437.6041
779,14.294042,428.821268
780,15.326073,459.782191
781,13.506086,405.182575
782,14.638053,439.141576
783,15.814862,474.445868
784,14.092889,422.786675
785,14.859065,445.771941
786,14.46893,434.067905
787,14.926329,447.789878
788,14.295964,428.878924
789,15.443946,463.318386
790,14.039078,421.172325
791,14.859705,445.79116
792,13.713645,411.409353
793,14.919283,447.578475
794,15.784113,473.523382
795,15.240231,457.206919
796,14.548366,436.450993
797,15.334401,460.032031
798,13.661115,409.83344
799,15.6246,468.737988
800,13.941704,418.251121
801,14.951313,448.539398
802,14.127482,423.824471
803,14.473414,434.202434
804,14.353619,430.608584
805,13.623959,408.71877
806,14.160154,424.804612
807,13.970532,419.115951
808,15.572069,467.162076
809,15.827675,474.830237
810,13.81294,414.388213
811,14.886611,446.598334
812,13.554132,406.623959
813,14.567585,437.027546
814,14.182575,425.477258
815,14.200512,426.015375
816,14.504164,435.12492
817,15.30173,459.05189
818,14.515054,435.451634
819,12.436899,373.106983
820,14.547726,436.431775
821,15.850737,475.522101
822,16.310698,489.320948
823,14.852018,445.560538
824,12.663677,379.910314
825,14.126201,423.786035
826,14.399744,431.992313
827,13.285074,398.55221
828,16.203075,486.092249
829,14.719411,441.582319
830,14.071108,422.133248
831,14.317745,429.532351
832,16.29148,488.744395
833,13.952594,418.577835
834,16.49968,494.990391
835,14.883408,446.502242
836,13.391416,401.742473
837,13.866752,416.002562
838,13.485586,404.567585
839,15.441384,463.241512
840,13.966688,419.000641
841,14.668161,440.044843
842,15.386931,461.607944
843,15.632287,468.96861
844,14.2287,426.860987
845,15.252402,457.572069
846,14.269699,428.090967
847,13.869315,416.079436
848,13.543242,406.297245
849,14.057015,421.710442
850,15.175529,455.265855
851,15.08328,452.498398
852,12.886611,386.598334
853,13.788597,413.657912
854,15.035874,451.076233
855,14.93786,448.13581
856,14.40615,432.184497
857,13.724536,411.736067
858,14.396541,431.89622
859,14.29212,428.763613
860,14.536195,436.085842
861,14.706598,441.19795
862,15.282511,458.475336
863,16.222934,486.68802
864,15.070468,452.114029
865,13.387572,401.627162
866,14.475977,434.279308
867,14.493914,434.817425
868,15.362588,460.877643
869,15.819347,474.580397
870,13.554773,406.643177
871,15.621397,468.641896
872,14.504164,435.12492
873,13.960922,418.827675
874,13.967969,419.039078
875,16.01089,480.326714
876,15.497117,464.913517
877,14.86419,445.925689
878,13.929532,417.885971
879,13.450993,403.529789
880,14.597053,437.911595
881,14.457399,433.721973
882,14.91672,447.501602
883,15.53171,465.951313
884,14.2287,426.860987
885,14.035234,421.057015
886,14.616912,438.507367
887,15.101858,453.055734
888,13.394619,401.838565
889,14.191544,425.746316
890,14.513133,435.393978
891,14.556054,436.681614
892,15.388853,461.665599
893,13.798206,413.946188
894,14.744395,442.331839
895,16.750801,502.524023
896,16.033953,481.018578
897,16.586163,497.584881
898,15.017297,450.518898
899,15.039718,451.191544
900,15.256887,457.706598
901,14.019859,420.595772
902,15.548366,466.450993
903,16.785394,503.561819
904,12.960922,388.827675
905,13.89622,416.886611
906,16.401025,492.03075
907,16.900064,507.001922
908,14.618834,438.565022
909,14.548366,436.450993
910,13.978219,419.346573
